id,staffid,age,gender,tenuretrack,nonenglish,courseevaluation,students,division,beauty
0,1,36,f,1,0,4.3,43,U,0.20156664
94,1,36,f,1,0,3.7,125,U,0.20156664
95,1,36,f,1,0,3.6,125,U,0.20156664
96,1,36,f,1,0,4.4,123,U,0.20156664
1,2,59,m,1,0,4.5,20,U,-0.82608134
97,2,59,m,1,0,4,40,U,-0.82608134
98,2,59,m,1,0,2.1,44,U,-0.82608134
2,3,51,m,1,0,3.7,55,U,-0.6603327
99,3,51,m,1,0,3.2,195,U,-0.6603327
3,4,40,f,1,0,4.3,46,U,-0.7663125
100,4,40,f,1,0,3.5,27,U,-0.7663125
101,4,40,f,1,0,4.1,25,U,-0.7663125
102,4,40,f,1,0,4.6,20,U,-0.7663125
103,4,40,f,1,0,3.8,25,U,-0.7663125
104,4,40,f,1,0,3.8,42,U,-0.7663125
105,4,40,f,1,0,3.8,20,U,-0.7663125
106,4,40,f,1,0,4.2,18,U,-0.7663125
4,5,31,f,1,0,4.4,48,U,1.4214451
107,5,31,f,1,0,3.9,44,U,1.4214451
108,5,31,f,1,0,4.5,48,U,1.4214451
109,5,31,f,1,0,4.5,45,U,1.4214451
110,5,31,f,1,0,4.4,59,U,1.4214451
111,5,31,f,1,0,4.4,87,U,1.4214451
5,6,62,m,1,0,4.2,282,U,0.5002196
112,6,62,m,1,0,4.4,292,U,0.5002196
113,6,62,m,1,0,4.5,130,U,0.5002196
114,6,62,m,1,0,4.3,285,U,0.5002196
115,6,62,m,1,0,4.6,272,U,0.5002196
116,6,62,m,1,0,4.8,286,U,0.5002196
117,6,62,m,1,0,4.3,302,U,0.5002196
6,7,33,f,1,0,4,41,U,-0.21435009
118,7,33,f,1,0,4,34,U,-0.21435009
119,7,33,f,1,0,4,41,U,-0.21435009
120,7,33,f,1,0,3.9,41,U,-0.21435009
121,7,33,f,1,0,3.3,34,U,-0.21435009
7,8,51,f,1,0,3.4,41,U,-0.34653896
122,8,51,f,1,0,4.5,22,U,-0.34653896
123,8,51,f,1,0,4.5,21,U,-0.34653896
124,8,51,f,1,0,4.5,17,U,-0.34653896
125,8,51,f,1,0,2.5,30,L,-0.34653896
126,8,51,f,1,0,4.3,23,U,-0.34653896
127,8,51,f,1,0,4.5,20,U,-0.34653896
8,9,33,f,1,0,4.5,60,U,0.061343513
128,9,33,f,1,0,4.7,33,U,0.061343513
129,9,33,f,1,0,3.5,44,U,0.061343513
130,9,33,f,1,0,4.5,49,U,0.061343513
131,9,33,f,1,0,3.8,29,U,0.061343513
132,9,33,f,1,0,4.5,48,U,0.061343513
133,9,33,f,1,0,4.3,40,U,0.061343513
9,10,47,m,0,0,3.9,19,U,0.45256788
134,10,47,m,0,0,3.9,16,U,0.45256788
135,10,47,m,0,0,4.3,15,U,0.45256788
136,10,47,m,0,0,4.2,23,U,0.45256788
137,10,47,m,0,0,5,11,L,0.45256788
138,10,47,m,0,0,5,29,L,0.45256788
139,10,47,m,0,0,4.6,21,U,0.45256788
140,10,47,m,0,0,5,18,L,0.45256788
141,10,47,m,0,0,4.7,19,U,0.45256788
142,10,47,m,0,0,5,20,L,0.45256788
10,11,35,m,1,1,3.1,25,U,0.1432643
143,11,35,m,1,1,2.7,33,U,0.1432643
144,11,35,m,1,1,4,24,U,0.1432643
11,12,37,m,0,0,4,34,U,-0.15502281
145,12,37,m,0,0,4.4,21,U,-0.15502281
146,12,37,m,0,0,4.4,30,U,-0.15502281
147,12,37,m,0,0,4.3,25,U,-0.15502281
148,12,37,m,0,0,3.5,35,U,-0.15502281
12,13,42,m,1,0,3.8,40,U,0.12854326
149,13,42,m,1,0,3.8,30,U,0.12854326
150,13,42,m,1,0,3.9,42,U,0.12854326
151,13,42,m,1,0,3.7,57,U,0.12854326
152,13,42,m,1,0,3.3,57,U,0.12854326
153,13,42,m,1,0,4,51,U,0.12854326
154,13,42,m,1,0,3.8,30,U,0.12854326
13,14,49,m,1,1,3.4,36,U,-0.34704533
155,14,49,m,1,1,4.2,37,U,-0.34704533
156,14,49,m,1,1,3.1,29,U,-0.34704533
157,14,49,m,1,1,3.6,27,U,-0.34704533
14,15,37,f,1,0,2.9,28,U,0.46193877
158,15,37,f,1,0,3.3,52,U,0.46193877
159,15,37,f,1,0,2.9,26,U,0.46193877
160,15,37,f,1,0,3.1,30,U,0.46193877
15,16,45,m,1,0,4.5,33,U,-0.1503849
161,16,45,m,1,0,4,177,L,-0.1503849
162,16,45,m,1,0,4,199,L,-0.1503849
163,16,45,m,1,0,4.2,32,U,-0.1503849
164,16,45,m,1,0,3.8,37,U,-0.1503849
165,16,45,m,1,0,4.3,161,L,-0.1503849
16,17,56,f,0,0,4,41,U,-1.0707343
166,17,56,f,0,0,4.6,44,U,-1.0707343
167,17,56,f,0,0,4.3,53,U,-1.0707343
168,17,56,f,0,0,3.6,49,U,-1.0707343
169,17,56,f,0,0,4.2,32,U,-1.0707343
17,18,48,m,0,0,3.8,135,L,-0.14269309
170,18,48,m,0,0,3.9,33,U,-0.14269309
171,18,48,m,0,0,4.1,19,U,-0.14269309
172,18,48,m,0,0,4,111,L,-0.14269309
173,18,48,m,0,0,4.3,149,L,-0.14269309
174,18,48,m,0,0,3.9,27,U,-0.14269309
175,18,48,m,0,0,4.2,136,L,-0.14269309
176,18,48,m,0,0,4.2,140,L,-0.14269309
18,19,46,f,1,0,4.3,31,U,-0.15636341
177,19,46,f,1,0,4.9,15,L,-0.15636341
178,19,46,f,1,0,4,29,U,-0.15636341
179,19,46,f,1,0,4.3,25,U,-0.15636341
180,19,46,f,1,0,4.9,18,U,-0.15636341
181,19,46,f,1,0,3.9,45,U,-0.15636341
182,19,46,f,1,0,4.9,15,L,-0.15636341
183,19,46,f,1,0,3.9,38,U,-0.15636341
184,19,46,f,1,0,4,15,L,-0.15636341
19,20,57,f,0,0,3.4,28,U,-0.058935404
185,20,57,f,0,0,3.5,23,U,-0.058935404
186,20,57,f,0,0,3.9,19,U,-0.058935404
187,20,57,f,0,0,4,23,U,-0.058935404
188,20,57,f,0,0,3.6,22,U,-0.058935404
189,20,57,f,0,0,3,20,U,-0.058935404
190,20,57,f,0,0,3,19,U,-0.058935404
191,20,57,f,0,0,3.6,23,U,-0.058935404
192,20,57,f,0,0,3.6,22,U,-0.058935404
193,20,57,f,0,0,3.2,15,U,-0.058935404
20,21,52,f,0,0,3.4,22,U,0.15113679
194,21,52,f,0,0,3.9,31,U,0.15113679
195,21,52,f,0,0,3.5,21,U,0.15113679
196,21,52,f,0,0,3.5,36,U,0.15113679
197,21,52,f,0,0,3.1,19,U,0.15113679
198,21,52,f,0,0,4.2,37,U,0.15113679
21,22,29,f,1,1,3.3,26,U,-0.937076
22,23,62,m,1,0,4.3,39,U,-0.8214405
199,23,62,m,1,0,3.6,184,L,-0.8214405
200,23,62,m,1,0,4.5,50,U,-0.8214405
201,23,62,m,1,0,3.7,157,L,-0.8214405
202,23,62,m,1,0,3.4,164,L,-0.8214405
23,24,64,m,1,0,4.4,24,U,-0.19947124
203,24,64,m,1,0,4.5,68,U,-0.19947124
204,24,64,m,1,0,4.6,47,U,-0.19947124
205,24,64,m,1,0,4.8,14,U,-0.19947124
206,24,64,m,1,0,4.5,15,U,-0.19947124
207,24,64,m,1,0,4.4,24,U,-0.19947124
208,24,64,m,1,0,4.1,39,U,-0.19947124
25,26,58,m,1,0,4.2,159,U,-0.41019756
210,26,58,m,1,0,4.3,151,U,-0.41019756
211,26,58,m,1,0,3.5,47,L,-0.41019756
212,26,58,m,1,0,4,122,U,-0.41019756
213,26,58,m,1,0,4,45,L,-0.41019756
26,27,52,m,1,1,4,16,U,0.12334483
214,27,52,m,1,1,4.6,23,U,0.12334483
215,27,52,m,1,1,4.6,16,U,0.12334483
216,27,52,m,1,1,3.7,18,U,0.12334483
217,27,52,m,1,1,3.5,16,U,0.12334483
218,27,52,m,1,1,3.6,15,U,0.12334483
219,27,52,m,1,1,3.9,28,U,0.12334483
27,28,73,m,1,0,3.3,17,U,-0.80599415
220,28,73,m,1,0,4.2,13,U,-0.80599415
221,28,73,m,1,0,3.2,21,U,-0.80599415
222,28,73,m,1,0,4.9,17,U,-0.80599415
28,29,70,m,1,0,4.4,134,U,-0.82104176
223,29,70,m,1,0,4,48,U,-0.82104176
224,29,70,m,1,0,3.5,64,U,-0.82104176
225,29,70,m,1,0,3.4,69,U,-0.82104176
29,30,41,f,1,0,2.3,12,U,0.3198185
30,31,63,m,0,0,3.5,43,U,-0.09855679
226,31,63,m,0,0,4.2,14,U,-0.09855679
227,31,63,m,0,0,3.5,15,U,-0.09855679
228,31,63,m,0,0,4.4,18,U,-0.09855679
229,31,63,m,0,0,3.7,16,U,-0.09855679
